datetime_utc,0,1,2,3,4,5,6,7
2023-06-04 00:00:00+02:00,85.05250000000001,85.0,82.01,76.11,,,,
2023-06-04 01:00:00+02:00,79.20750000000001,85.0,84.99,80.01,,,,
2023-06-04 02:00:00+02:00,78.0125,84.96,84.96,80.01,,,,
2023-06-04 03:00:00+02:00,75.4525,82.35,83.35,80.01,,,,
2023-06-04 04:00:00+02:00,74.17875000000001,78.65,76.95,72.75,72.75,,,
2023-06-04 05:00:00+02:00,73.10375,75.69,72.75,64.7,58.0,,,
2023-06-04 06:00:00+02:00,69.5325,73.22,74.55,72.0,72.75,,,
2023-06-04 07:00:00+02:00,67.30624999999999,72.75,74.25,69.8,69.0,65.36,,
2023-06-04 08:00:00+02:00,54.4675,63.23,53.97,51.665,62.245000000000005,46.885,,
2023-06-04 09:00:00+02:00,36.86,53.005,45.78,40.0,47.56,42.505,,
2023-06-04 10:00:00+02:00,25.00625,40.75,48.495,37.025,25.32,50.005,,
2023-06-04 11:00:00+02:00,23.015,45.305,42.66,35.17,43.56,43.505,,
2023-06-04 12:00:00+02:00,22.90625,52.135,51.88,42.465,39.375,36.875,44.875,
2023-06-04 13:00:00+02:00,11.25375,62.120000000000005,61.87,48.955000000000005,46.875,53.505,66.425,
2023-06-04 14:00:00+02:00,3.900000000000001,54.94500000000001,54.54,46.155,55.06,55.005,55.22,
2023-06-04 15:00:00+02:00,11.5475,41.23,45.275,28.665,47.61,49.505,36.75,
2023-06-04 16:00:00+02:00,17.845,40.76,45.0,31.25,25.540000000000003,25.005,37.0,
2023-06-04 17:00:00+02:00,44.295,66.6,41.94,41.75,37.94,36.5,40.325,
2023-06-04 18:00:00+02:00,77.02125,73.21,67.69,71.36,66.99000000000001,69.145,64.0,
2023-06-04 19:00:00+02:00,86.94875,82.51,78.5,75.9,72.75,72.0,72.0,
2023-06-04 20:00:00+02:00,98.03375,86.37,89.58,87.66,85.6,88.57,90.54,90.5
2023-06-04 21:00:00+02:00,99.495,94.32,99.3,99.3,98.0,98.31,97.65,91.45
2023-06-04 22:00:00+02:00,98.51125,98.64,103.64,105.0,104.64,103.64,102.44,95.24
2023-06-04 23:00:00+02:00,89.11125,90.67,96.0,96.29,95.67,94.68,92.01,80.0
